id,client_id,job_id,arrival_time,end_time,job_time,queue_time
2497,5,241,1573771456.21036,1573771458.25772,2.04467558860779,0.00267553329467773
2498,2,257,1573771456.26474,1573771458.29107,2.02352046966553,0.00281286239624023
2499,5,242,1573771456.3424,1573771458.56228,2.02271389961243,0.197161912918091
2500,8,244,1573771456.61497,1573771458.99738,2.00654435157776,0.375861883163452
2501,0,228,1573771456.96816,1573771459.69185,2.02870225906372,0.694980621337891
2502,2,258,1573771457.16377,1573771459.7707,2.02041530609131,0.586519241333008
2503,4,254,1573771457.29338,1573771459.83919,2.03460144996643,0.511205434799194
2504,6,239,1573771457.32653,1573771459.85145,2.03687930107117,0.48803448677063
2505,6,240,1573771458.50618,1573771460.56886,2.05993914604187,0.00274229049682617
2506,6,241,1573771458.58048,1573771460.65264,2.0698230266571,0.00233006477355957
2507,7,255,1573771458.62326,1573771460.67899,2.0532398223877,0.00249004364013672
2508,5,243,1573771458.80424,1573771461.07605,2.06735467910767,0.204459190368652
2509,4,255,1573771459.47912,1573771461.7959,2.01314854621887,0.303627729415894
2510,7,256,1573771459.10371,1573771461.82027,2.11579012870789,0.600762367248535
2511,2,259,1573771459.54201,1573771461.86643,2.01528406143188,0.309134006500244
2512,2,260,1573771459.70748,1573771461.88841,2.01987433433533,0.161054372787476
2513,1,256,1573771459.8488,1573771462.62633,2.04549860954285,0.732031583786011
2514,4,256,1573771459.94756,1573771462.67035,2.00692200660706,0.715867280960083
2515,1,257,1573771460.03166,1573771462.67791,1.98753190040588,0.658722639083862
2516,1,257,1573771460.03166,1573771462.67791,1.98753190040588,0.658722639083862
2517,3,256,1573771461.51205,1573771463.42516,1.91044902801514,0.00265192985534668
2518,6,242,1573771461.5284,1573771463.69758,1.88940238952637,0.27977442741394
2519,5,244,1573771461.75067,1573771463.7595,1.92454814910889,0.0842771530151367
2520,1,258,1573771463.09449,1573771464.99816,1.90062713623047,0.00304484367370605
2521,4,257,1573771463.57254,1573771465.47403,1.89835643768311,0.00313115119934082
2522,6,243,1573771463.55556,1573771465.49648,1.93760538101196,0.00330853462219238
2523,9,244,1573771463.86812,1573771465.82086,1.95005798339844,0.0026850700378418
2524,3,257,1573771463.89893,1573771465.90052,1.99832916259766,0.00326371192932129
2525,4,258,1573771464.08367,1573771466.07402,1.98756074905396,0.00279569625854492
2526,2,261,1573771464.95256,1573771466.97692,2.02169895172119,0.00265932083129883
2527,3,258,1573771465.13496,1573771467.18027,2.04297232627869,0.00233674049377441
2528,3,259,1573771465.32651,1573771467.37723,2.04815793037415,0.0025632381439209
2529,2,262,1573771465.37233,1573771467.50084,2.01577806472778,0.112734079360962
2530,4,259,1573771465.59691,1573771467.65055,2.05115628242493,0.0024876594543457
2531,7,257,1573771465.70406,1573771467.84388,2.0110867023468,0.128731966018677
2532,7,258,1573771466.0649,1573771468.14385,2.07648491859436,0.00245761871337891
2533,6,244,1573771466.38106,1573771468.42445,2.04094290733337,0.00245165824890137
2534,9,245,1573771466.57385,1573771469.02809,2.03867387771606,0.415570735931397
2535,3,260,1573771466.63239,1573771469.2251,2.03281664848328,0.559888362884522
2536,2,263,1573771466.66732,1573771469.4212,2.03272938728333,0.721145153045654
2537,6,245,1573771467.11443,1573771469.48901,1.97709441184998,0.397485256195068
2538,9,246,1573771467.4907,1573771469.67566,2.01281046867371,0.172142744064331
2539,4,260,1573771467.79549,1573771469.83767,1.9828507900238,0.0593218803405762
2540,4,261,1573771468.87652,1573771470.8167,1.93738079071045,0.00279808044433594
2541,1,259,1573771468.97905,1573771470.90693,1.92569065093994,0.00219416618347168
2542,3,261,1573771469.09802,1573771471.03928,1.93898129463196,0.00227808952331543
2543,3,262,1573771469.67248,1573771471.62874,1.95391821861267,0.00234460830688477
2544,8,245,1573771470.31403,1573771472.3269,2.00924301147461,0.00362849235534668
2545,1,260,1573771470.5608,1573771472.54973,1.98588824272156,0.00304651260375977
2546,5,245,1573771470.51481,1573771472.56867,2.05046057701111,0.00339078903198242
2547,4,262,1573771470.93272,1573771472.96442,2.02913522720337,0.00255870819091797
2548,5,246,1573771471.06536,1573771473.05676,1.98912644386292,0.0022737979888916
